district,Sampleid,Latitude,Longitude
Agago,AG-00-01-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-02-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-03-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-04-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-05-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-06-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-07-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-08-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-09-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-10-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-11-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-12-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-13-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-14-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-15-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-16-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-17-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-18-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-20-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-21-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-22-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-23-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-24-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-25-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-26-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-27-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-28-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-29-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-30-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-31-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-32-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-33-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-34-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-35-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-36-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-37-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-38-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-39-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-40-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-41-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-42-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-43-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-44-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-45-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-46-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-47-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-48-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-49-PRX-00-1,2.9190259,33.3370572
Agago,AG-00-50-PRX-00-1,2.9190259,33.3370572
Amolatar,AM-00-01-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-02-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-03-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-04-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-05-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-06-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-07-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-08-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-09-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-10-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-11-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-12-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-13-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-14-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-15-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-16-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-17-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-18-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-19-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-20-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-21-PRX-00-1,1.6374697,32.8438088
